"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_002192375.1","IncX3",46161,"Homo sapiens","CP021759.1","Missing","blaNDM-7"
"GCA_001482605.1","IncX3",3202,"Environment","LLJS01000022.1","Europe","blaNDM-5"
"GCA_001463215.1","IncX3",3336,"Homo sapiens","LNHX01000047.1","South America","blaNDM-7"
"GCA_002775595.1","IncX3",44058,"Homo sapiens","NICZ01000017.1","Asia","blaNDM-7"
"GCA_003037715.1","IncX3",3165,"Homo sapiens","PWAP01000086.1","Asia","blaNDM-5"
"GCA_003261645.1","IncX3",6404,"Environment","QJNQ01000051.1","Asia","blaNDM-5"
"GCA_004024285.1","IncX3",43723,"Environment","QKPG01000021.1","North America","blaNDM-7"
"GCA_004321365.1","IncX3",45436,"Wild animal","SGRS01000025.1","Asia","blaNDM-5"
"GCA_004321435.1","IncX3",45629,"Wild animal","SGSD01000027.1","Asia","blaNDM-5"
"GCA_004321445.1","IncX3",43195,"Wild animal","SGSA01000027.1","Asia","blaNDM-5"
"GCA_902166865.1","IncX3",60728,"Homo sapiens","CABHKJ010000003.1","Europe","blaNDM-7"
"GCA_015353095.1","IncX3",46161,"Swine","CP064177.1","Asia","blaNDM-5"
"GCA_005503745.1","IncX3",8745,"Homo sapiens","RXMB01000004.1","Asia","blaNDM-5"
"GCA_005503795.1","IncX3",8745,"Homo sapiens","RXMF01000005.1","Asia","blaNDM-5"
"GCA_005503805.1","IncX3",8745,"Homo sapiens","RXMG01000049.1","Asia","blaNDM-5"
"GCA_005503815.1","IncX3",8786,"Homo sapiens","RXMH01000050.1","Asia","blaNDM-5"
"GCA_005503855.1","IncX3",8834,"Homo sapiens","RXMI01000019.1","Asia","blaNDM-5"
"GCA_005503935.1","IncX3",7969,"Homo sapiens","RXMO01000054.1","Asia","blaNDM-5"
"GCA_005504165.1","IncX3",8746,"Homo sapiens","RXMJ01000038.1","Asia","blaNDM-5"
"GCA_005504185.1","IncX3",3202,"Homo sapiens","RXMK01000066.1","Asia","blaNDM-5"
"GCA_005504315.1","IncX3",8746,"Homo sapiens","RXME01000041.1","Asia","blaNDM-5"
"GCA_011029525.1","IncX3",3528,"Homo sapiens","JAAJSC010000040.1","Asia","blaNDM-7"
"GCA_011029535.1","IncX3",3528,"Homo sapiens","JAAJSB010000039.1","Asia","blaNDM-7"
"GCA_011029615.1","IncX3",3528,"Homo sapiens","JAAJSF010000038.1","Asia","blaNDM-7"
"GCA_011029745.1","IncX3",3485,"Homo sapiens","JAAJSQ010000030.1","Asia","blaNDM-7"
"GCA_011029815.1","IncX3",3528,"Homo sapiens","JAAJST010000033.1","Asia","blaNDM-7"
"GCA_017655335.1","IncX3",3505,"Homo sapiens","JAGGIU010000036.1","Asia","blaNDM-7"
"GCA_017846505.1","IncX3",3489,"Homo sapiens","JADOBA010000028.1","Asia","blaNDM-7"
"GCA_014040975.1","IncX3",3353,"Environment","JACEZM010000039.1","Asia","blaNDM-5"
"GCA_014041005.1","IncX3",3353,"Environment","JACEZL010000034.1","Asia","blaNDM-5"
"GCA_002252415.1","IncX3",3328,"Homo sapiens","NOKM01000070.1","Asia","blaNDM-5"
"GCA_002257785.1","IncX3",7983,"Homo sapiens","NBXV01000034.1","Asia","blaNDM-1"
"GCA_002257975.1","IncX3",3321,"Homo sapiens","NBXO01000045.1","Asia","blaNDM-5"
"GCA_000971075.1","IncX3",5662,"Homo sapiens","LART01000084.1","North America","blaNDM-5"
"GCA_001456055.3","IncX3",46161,"Homo sapiens","CP012990.1","North America","blaNDM-7"
"GCA_001884315.1","IncX3",3482,"Homo sapiens","LLWU01000027.1","North America","blaNDM-7"
"GCA_001884395.1","IncX3",3482,"Homo sapiens","LLWV01000004.1","North America","blaNDM-7"
"GCA_001887995.2","IncX3",105259,"Homo sapiens","CP031884.1","Asia","blaNDM-1"
"GCA_002108235.1","IncX3",3417,"Homo sapiens","NBOK01000056.1","Asia","blaNDM-7"
"GCA_002108285.1","IncX3",3417,"Homo sapiens","NBOM01000066.1","Asia","blaNDM-7"
"GCA_002108415.1","IncX3",3417,"Homo sapiens","NBOO01000061.1","Asia","blaNDM-7"
"GCA_002264195.1","IncX3",48964,"Homo sapiens","NPGM01000027.1","Asia","blaNDM-1"
"GCA_002811525.1","IncX3",5622,"Environment","NQVK01000078.1","Asia","blaNDM-5"
"GCA_002811535.1","IncX3",45495,"Environment","NQVL01000030.1","Asia","blaNDM-5"
"GCA_002811585.1","IncX3",45495,"Environment","NQVM01000027.1","Asia","blaNDM-5"
"GCA_002966875.1","IncX3",68637,"Homo sapiens","CP025215.1","Asia","blaNDM-7"
"GCA_003036445.1","IncX3",12555,"Homo sapiens","PWAN01000024.1","Asia","blaNDM-5"
"GCA_003036645.1","IncX3",3167,"Homo sapiens","PWBM01000048.1","Asia","blaNDM-5"
"GCA_003037655.1","IncX3",32726,"Homo sapiens","PWAK01000021.1","Asia","blaNDM-1"
"GCA_003037665.1","IncX3",32726,"Homo sapiens","PWAL01000021.1","Asia","blaNDM-1"
"GCA_003054385.1","IncX3",46161,"Homo sapiens","CP028718.1","Asia","blaNDM-19"
"GCA_004011635.1","IncX3",43561,"Homo sapiens","RXHF01000032.1","Asia","blaNDM-5"
"GCA_004294665.1","IncX3",3290,"Homo sapiens","SHUB01000053.1","Asia","blaNDM-5"
"GCA_004294745.1","IncX3",3292,"Homo sapiens","SHTZ01000050.1","Asia","blaNDM-5"
"GCA_004321285.1","IncX3",9408,"Wild animal","SGRB01000038.1","Asia","blaNDM-5"
"GCA_002811735.1","IncX3",43888,"Homo sapiens","NTBE01000034.1","Asia","blaNDM-5"
"GCA_002848835.1","IncX3",18465,"Homo sapiens","PKNC01000098.1","Asia","blaNDM-7"
"GCA_002853455.1","IncX3",36863,"Homo sapiens","NWFE01000027.1","Asia","blaNDM-1"
"GCA_002853475.2","IncX3",54035,"Homo sapiens","CP037965.1","Asia","blaNDM-1"
"GCA_002853465.1","IncX3",48124,"Homo sapiens","NWFF01000022.1","Asia","blaNDM-1"
