"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_002180055.1","IncX3",46161,"Homo sapiens","CP021534.1","Missing","blaNDM-7"
"GCA_002180135.1","IncX3",49828,"Homo sapiens","CP021682.1","Missing","blaNDM-7"
"GCA_002180215.1","IncX3",46161,"Homo sapiens","CP021692.1","Missing","blaNDM-5"
"GCA_002192295.1","IncX3",46159,"Homo sapiens","CP021738.1","Missing","blaNDM-5"
"GCA_003999795.1","IncX3",46161,"Environment","CP034744.1","Asia","blaNDM-5"
"GCA_003999815.1","IncX3",46261,"Environment","CP034748.1","Asia","blaNDM-5"
"GCA_003999835.1","IncX3",46238,"Environment","CP034730.1","Asia","blaNDM-5"
"GCA_004014735.1","IncX3",46263,"Environment","CP034847.1","Asia","blaNDM-5"
"GCA_013016985.1","IncX3",8971,"Environment","DABHRG010000051.1","Missing","blaNDM-5"
"GCA_012673005.1","IncX3",7745,"Homo sapiens","DABCAF010000070.1","Missing","blaNDM-1"
"GCA_012672885.1","IncX3",3316,"Homo sapiens","DABBZP010000058.1","Missing","blaNDM-5"
"GCA_013085385.1","IncX3",42513,"Homo sapiens","DABITN010000038.1","Missing","blaNDM-7"
"GCA_012672645.1","IncX3",46161,"Homo sapiens","DABBZH010000026.1","Missing","blaNDM-5"
"GCA_009821835.1","IncX3",44296,"Swine","VDIY01000033.1","Missing","blaNDM-1"
"GCA_013340785.1","IncX3",47226,"Homo sapiens","AP023194.1","Missing","blaNDM-5"
"GCA_013340805.1","IncX3",46160,"Homo sapiens","AP023202.1","Missing","blaNDM-5"
"GCA_013340825.1","IncX3",46161,"Homo sapiens","AP023210.1","Missing","blaNDM-5"
"GCA_011029465.1","IncX3",47332,"Homo sapiens","JAAJRY010000033.1","Asia","blaNDM-19"
"GCA_011029505.1","IncX3",47332,"Homo sapiens","JAAJRZ010000032.1","Asia","blaNDM-19"
"GCA_011029555.1","IncX3",47332,"Homo sapiens","JAAJSD010000032.1","Asia","blaNDM-19"
"GCA_011029605.1","IncX3",43165,"Homo sapiens","JAAJSE010000036.1","Asia","blaNDM-5"
"GCA_011029635.1","IncX3",3464,"Homo sapiens","JAAJSM010000093.1","Asia","blaNDM-5"
"GCA_014827455.1","IncX3",43405,"Poultry","DABXCT010000043.1","Asia","blaNDM"
"GCA_013011925.1","IncX3",45578,"Environment","DABHMW010000036.1","Asia","blaNDM-5"
