"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_900520385.1","IncFIA",96986,"Environment","LS992188.1","Missing","blaNDM"
"GCA_003288415.1","IncFIA",128762,"Homo sapiens","CP030329.1","Missing","blaNDM-5"
"GCA_010365505.1","IncFIA",10494,"Environment","CP048374.1","Europe","blaNDM-5"
"GCA_010365525.1","IncFIA",132482,"Environment","CP048368.1","Europe","blaNDM-5"
"GCA_010365545.1","IncFIA",86996,"Environment","CP048377.1","Europe","blaNDM-5"
"GCA_003967455.1","IncFIA",5893,"Homo sapiens","BIFM01000111.1","Missing","blaNDM-5"
"GCA_012672305.1","IncFIA",6889,"Homo sapiens","DABBYW010000053.1","Missing","blaNDM-1"
"GCA_013374335.1","IncFIA",93649,"Environment","AP023238.1","Asia","blaNDM-5"
"GCA_012482015.1","IncFIA",9480,"Homo sapiens","AASPSV010000076.1","North America","blaNDM-5"
"GCA_011030265.1","IncFIA",9928,"Homo sapiens","JAAJRN010000079.1","Asia","blaNDM-5"
"GCA_002257685.1","IncFIA",100140,"Homo sapiens","CM008165.1","North America","blaNDM-7"
"GCA_003009615.1","IncFIA",7161,"Poultry","PGKL01000069.1","Asia","blaNDM-1"
"GCA_004024025.1","IncFIA",9154,"Environment","QKOO01000087.1","North America","blaNDM-5"
"GCA_013007115.1","IncFIA",8896,"Homo sapiens","DABHFU010000061.1","North America","blaNDM-5"
"GCA_013006995.1","IncFIA",5592,"Homo sapiens","DABHFK010000042.1","North America","blaNDM-4"
"GCA_012290065.1","IncFIA",8658,"Environment","DAAZEQ010000106.1","Asia","blaNDM-5"
"GCA_012290025.1","IncFIA",5593,"Environment","DAAZEM010000070.1","Asia","blaNDM-5"
"GCA_012289945.1","IncFIA",5592,"Environment","DAAZEO010000109.1","Asia","blaNDM-5"
"GCA_012290045.1","IncFIA",8665,"Environment","DAAZEF010000053.1","Asia","blaNDM-5"
"GCA_009600715.1","IncFIA",9885,"Environment","SQQZ01000083.1","Asia","blaNDM-1"
"GCA_009600735.1","IncFIA",5824,"Environment","SQQY01000076.1","Asia","blaNDM-1"
"GCA_009600765.1","IncFIA",5824,"Environment","SQQX01000072.1","Asia","blaNDM-1"
"GCA_009600785.1","IncFIA",9885,"Environment","SQQV01000080.1","Asia","blaNDM-1"
"GCA_009600795.1","IncFIA",5824,"Environment","SQQW01000074.1","Asia","blaNDM-1"
"GCA_009600815.1","IncFIA",9971,"Environment","SQQU01000064.1","Asia","blaNDM-1"
"GCA_003261145.1","IncFIA",9713,"Homo sapiens","QLNK01000053.1","Missing","blaNDM-5"
"GCA_002903125.1","IncFIA",100989,"Homo sapiens","CP026201.1","North America","blaNDM-5"
"GCA_003030365.1","IncFIA",173882,"Environment","CP027703.1","Europe","blaNDM-5"
"GCA_003031775.1","IncFIA",158757,"Homo sapiens","CP020515.1","North America","blaNDM-5"
"GCA_003031795.1","IncFIA",109864,"Homo sapiens","CP020517.1","North America","blaNDM-5"
"GCA_003546095.1","IncFIA",6092,"Environment","QXNR01000053.1","Africa","blaNDM-5"
"GCA_003546115.1","IncFIA",6083,"Environment","QXNS01000050.1","Africa","blaNDM-5"
"GCA_003546145.1","IncFIA",7121,"Environment","QXNT01000053.1","Africa","blaNDM-5"
"GCA_003546185.1","IncFIA",6095,"Environment","QXNP01000054.1","Africa","blaNDM-5"
"GCA_003546205.1","IncFIA",6092,"Environment","QXNQ01000051.1","Africa","blaNDM-5"
"GCA_003546225.1","IncFIA",6092,"Environment","QXNU01000059.1","Africa","blaNDM-5"
"GCA_003546245.1","IncFIA",6092,"Environment","QXNV01000050.1","Africa","blaNDM-5"
"GCA_003709075.1","IncFIA",12345,"Homo sapiens","QTLA01000047.1","Asia","blaNDM-5"
"GCA_900488885.1","IncFIA",10440,"Homo sapiens","UEDE01000057.1","North America","blaNDM-4"
"GCA_900489325.1","IncFIA",5778,"Homo sapiens","UEFE01000060.1","North America","blaNDM-5"
"GCA_900465555.1","IncFIA",5850,"Homo sapiens","UBJI01000068.1","Europe","blaNDM-5"
"GCA_012925025.1","IncFIA",9671,"Homo sapiens","AATNHT010000061.1","North America","blaNDM-5"
"GCA_012336635.1","IncFIA",8664,"Homo sapiens","AASHCM010000147.1","North America","blaNDM-5"
"GCA_002155845.1","IncFIA",12345,"Homo sapiens","NCTG01000047.1","Asia","blaNDM-5"
