Scientific name	Protein	BioSample	Location	Collection date	Isolate	AMRFinderPlus analysis type	Isolation type	Contig	Start	Assembly	Stop	Host	Isolation source	Strand	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	% Identity to reference
Klebsiella pneumoniae	WP_004201164.1	SAMN08897786	Italy		PDT000354697.1	COMBINED	environmental/other	NZ_QBDU01000051.1	15423	GCA_003339395.1	16235			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN14750017	Bulgaria	43313	PDT000788414.1	COMBINED	clinical	NZ_JABJWK010000061.1	429	GCA_013413815.1	1241	Homo sapiens	Central venous catheter tip	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN09809140	United Kingdom	43036	PDT000375440.1	COMBINED	clinical	NZ_CM010662.1	15251	GCA_003413505.1	16063	Homo sapiens	rectal swab	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN11835544	United Kingdom	43479	PDT000518047.1	COMBINED	clinical	NZ_CP040728.1	49060	GCA_005944305.1	49872	Homo sapiens	rectal swab	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN11793480	United Kingdom	43376	PDT000510489.1	COMBINED	clinical	NZ_CM016731.1	133707	GCA_005862195.1	134519	Homo sapiens	rectal swab	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014890			PDT000175509.1	COMBINED	clinical	NZ_CP018817.1	47203	GCA_001922465.1	48015			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014987			PDT000217000.1	COMBINED	clinical	NZ_CP021687.1	6803	GCA_002180175.1	7615			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA104414852			PDT000662757.1	COMBINED	environmental/other	NZ_CACSEG010000042.1	317	GCA_902704795.1	1129			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014882			PDT000158317.1	COMBINED	clinical	NZ_MPCE01000007.1	186659	GCA_001875125.1	187471			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014909			PDT000197021.1	COMBINED	clinical	NZ_CP020068.1	253474	GCA_002055855.1	254286			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014999			PDT000217001.1	COMBINED	clinical	NZ_CP021699.1	33818	GCA_002180255.1	34630			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014984			PDT000217003.1	COMBINED	clinical	NZ_CP021709.1	66280	GCA_002180315.1	67092			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_032495622.1	SAMN04014979			PDT000218724.1	COMBINED	clinical	NZ_CP021759.1	31105	GCA_002192375.1	31917			-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014980			PDT000219968.1	COMBINED	clinical	NZ_CP021961.1	39324	GCA_002202195.1	40136			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014980			PDT000219968.1	COMBINED	clinical	NZ_CP021962.1	103945	GCA_002202195.1	104757			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014986			PDT000219969.1	COMBINED	clinical	NZ_CP021941.1	17698	GCA_002202215.1	18510			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014993			PDT000219970.1	COMBINED	clinical	NZ_CP021947.1	2634	GCA_002202235.1	3446			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014989			PDT000219971.1	COMBINED	clinical	NZ_CP021952.1	49362	GCA_002202255.1	50174			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04014994			PDT000309563.1	COMBINED	clinical	NZ_CP028929.1	168551	GCA_003069525.1	169363			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07373332			PDT000339987.1	COMBINED	clinical	NZ_CP022612.1	137396	GCA_003267985.1	138208			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN12082929			PDT000532615.1	COMBINED	clinical	NZ_CP041083.1	133750	GCA_006459145.1	134562			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN03455970	USA	2014	PDT000131245.1	COMBINED	environmental/other	NZ_CP014757.1	5941	GCA_001648215.1	6753			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN03740593	Denmark	42010	PDT000100717.1	COMBINED	environmental/other	NZ_LLJS01000022.1	2208	GCA_001482605.1	3020			-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07179229		2016	PDT000236085.1	COMBINED	environmental/other	NZ_NPJW01000051.1	319	GCA_002263345.1	1131			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07179230		42633	PDT000236086.1	COMBINED	environmental/other	NZ_NPII01000041.1	6798	GCA_002263375.1	7610			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN10252241	Malaysia	2017	PDT000398327.1	COMBINED	environmental/other	NZ_RDWN01000085.1	3945	GCA_003687795.1	4757			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN10252254	Turkey	2017	PDT000398331.1	COMBINED	environmental/other	NZ_RDWC01000009.1	86522	GCA_003687865.1	87334			-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN10252232	Mexico	2017	PDT000398333.1	COMBINED	environmental/other	NZ_RDWW01000256.1	453	GCA_003687895.1	1265			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN10252245	Thailand	2017	PDT000398336.1	COMBINED	environmental/other	NZ_RDWK01000091.1	486	GCA_003687955.1	1298			+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN15578212		2009	PDT000797625.1	COMBINED	clinical	NZ_CP059311.1	19307	GCA_013694405.1	20119	Homo sapiens		-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN03144673	Brazil	41456	PDT000046332.1	COMBINED	environmental/other	NZ_JSER01000063.1	4749	GCA_000805735.1	5561		Rectal swab	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN03280392		2014	PDT000068092.1	COMBINED	clinical	NZ_KQ089405.1	3226429	GCA_001033585.1	3227241	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN03280316	USA	2014	PDT000076917.1	COMBINED	clinical	NZ_KQ236857.1	20007	GCA_001185865.1	20819	Homo sapiens		-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN05412811	Germany: Goettingen	42177	PDT000171848.1	COMBINED	clinical	NZ_CP018366.1	66819	GCA_001902355.1	67631	Homo sapiens	urine	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
