Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	% Identity to reference	Organism group	Strain	Location	Isolation source	Isolation type	Host	Assembly	Collection date	Contig coverage	Assembly coverage
Escherichia coli	WP_004201164.1	SAMN08897788	PDT000354291.1	NZ_QBDV01000050.1	18146	18958	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	OXA48/NDM1	Italy		clinical	Homo sapiens	GCA_003339345.1		0	0
Escherichia coli	WP_004201164.1	SAMN09693981	PDT000356853.1	NZ_CP031235.1	34633	35445	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	Es_ST410_NW1_NDM_09_2017	United Kingdom	rectal swab	clinical	Homo sapiens	GCA_003351385.1	2017/9/28	0	0
Escherichia coli	WP_004201164.1	SAMN09710898	PDT000356182.1	NZ_CP031216.1	58823	59635	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	Es_ST80_L1_NDM_10_2017	United Kingdom	rectal swab	clinical	Homo sapiens	GCA_003346835.1	2017/10/26	0	0
Escherichia coli	WP_133963898.1	SAMEA4830819	PDT000482606.1	NZ_LS992188.1	69393	70205	-	blaNDM	NDM family subclass B1 metallo-beta-lactamase	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	100	99.63	E.coli and Shigella				environmental/other		GCA_900520385.1		0	0
Escherichia coli	WP_004201164.1	SAMN07291528	PDT000310772.1	NZ_CP029118.1	109647	110459	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR435			clinical		GCA_003073835.1		243	337
Escherichia coli	WP_023408309.1	SAMN07291545	PDT000343389.1	NZ_CP030329.1	12488	13300	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_452			clinical		GCA_003288415.1		193	270
Escherichia coli	WP_004201164.1	SAMN04014960	PDT000216782.1	NZ_CP021536.1	25859	26671	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0119			clinical		GCA_002180095.1		139	61
Escherichia coli	WP_004201164.1	SAMN04014889	PDT000158301.1	NZ_MPCO01000003.1	87980	88792	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0048			clinical		GCA_001874845.1		138	105
Escherichia coli	WP_004201164.1	SAMN04014910	PDT000197014.1	NZ_CP020056.1	39784	40596	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0069			clinical		GCA_002056145.1		64	55
Escherichia coli	WP_004201164.1	SAMN04014959	PDT000197012.1	NZ_CP020049.1	44399	45211	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0118			clinical		GCA_002055635.1		103	63
Escherichia coli	WP_032495622.1	SAMN04014990	PDT000216781.1	NZ_CP021534.1	37295	38107	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0149			clinical		GCA_002180055.1		320	165
Escherichia coli	WP_032495622.1	SAMN04015003	PDT000216783.1	NZ_CP021682.1	30416	31228	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0162			clinical		GCA_002180135.1		76	84
Escherichia coli	WP_023408309.1	SAMN04014992	PDT000216785.1	NZ_CP021692.1	22979	23791	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0151			clinical		GCA_002180215.1		263	124
Escherichia coli	WP_004201164.1	SAMN04014969	PDT000216786.1	NZ_CP021720.1	33816	34628	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0128			clinical		GCA_002180275.1		81	53
Escherichia coli	WP_023408309.1	SAMN04014991	PDT000218721.1	NZ_CP021738.1	6231	7043	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0150			clinical		GCA_002192295.1		293	149
Escherichia coli	WP_032495384.1	SAMN04014978	PDT000219963.1	NZ_CP021881.1	98748	99560	+	blaNDM-6	subclass B1 metallo-beta-lactamase NDM-6	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0137			clinical		GCA_002201835.1		336	125
Escherichia coli	WP_004201164.1	SAMN04014896	PDT000219964.1	NZ_CP021936.1	58629	59441	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	AR_0055			clinical		GCA_002202175.1		125	83
Escherichia coli	WP_023408309.1	SAMN13951916	PDT000682323.1	NZ_CP048374.1	8367	9179	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	164	Switzerland	environment	environmental/other		GCA_010365505.1	2019	2	51
Escherichia coli	WP_023408309.1	SAMN13951916	PDT000682324.1	NZ_CP048368.1	24471	25283	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	164	Switzerland	environment	environmental/other		GCA_010365525.1	2019	43	69
Escherichia coli	WP_023408309.1	SAMN13951915	PDT000682325.1	NZ_CP048377.1	15834	16646	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	38	Switzerland	environment	environmental/other		GCA_010365545.1	2019	4	42
Escherichia coli	WP_023408309.1	SAMN10623993	PDT000435618.1	NZ_CP034744.1	41785	42597	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	L65	China		environmental/other		GCA_003999795.1	2018/5/28	0	0
Escherichia coli	WP_023408309.1	SAMN10623995	PDT000435619.1	NZ_CP034748.1	877	1689	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	L100	China		environmental/other		GCA_003999815.1	2018/5/28	0	0
Escherichia coli	WP_023408309.1	SAMN10623053	PDT000435620.1	NZ_CP034730.1	2199	3011	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	L41-1	China		environmental/other		GCA_003999835.1	2018/5/28	0	0
