UID_NUCCORE	ACC_NUCCORE	Description_NUCCORE	CreateDate_NUCCORE	Topology_NUCCORE	Completeness_NUCCORE	TaxonID_NUCCORE	Genome_NUCCORE	Length_NUCCORE	Source_NUCCORE	UID_ASSEMBLY	Status_ASSEMBLY	SeqReleaseDate_ASSEMBLY	SubmissionDate_ASSEMBLY	Latest_ASSEMBLY	UID_BIOSAMPLE	ACC_BIOSAMPLE	Location_BIOSAMPLE	Coordinates_BIOSAMPLE	IsolationSource_BIOSAMPLE	Host_BIOSAMPLE	SamplType_BIOSAMPLE	taxon_name	taxon_rank	lineage	taxon_species_id	taxon_species_name	taxon_genus_id	taxon_genus_name	taxon_family_id	taxon_family_name	taxon_order_id	taxon_order_name	taxon_class_id	taxon_class_name	taxon_phylum_id	taxon_phylum_name	taxon_superkingdom_id	taxon_superkingdom_name	loc_lat	loc_lng	loc_parsed	GC_NUCCORE	Identical	OldVersion	hits_rMLST	hitscount_rMLST	D1	D2	plasmidfinder	pmlst	relaxase_type	mpf_type	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	host	country	isolation.source	reference.title	journal	pmid	subtype	abstract
1848409494	NZ_MK123268	Serratia marcescens strain M17468 plasmid pSMA17468, complete sequence	2020/6/4	circular	complete	615	plasmid	138997	RefSeq	Missing	Missing	Missing	Missing	Missing	14227940	SAMN14227940	Missing	Missing	Missing	Missing	Missing	Serratia marcescens	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	615	Serratia marcescens	613	Serratia	1903411	Yersiniaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	51.88457305	MK123268	Missing	Missing	0	-2.622659	-0.51526994	IncC_1, JN157804	Missing	MOBH,MOBH	MPF_F	conjugative	MH995506	0	Citrobacter freundii	Missing	Argentina	retroculture	Isolation of five Enterobacteriaceae species harbouring blaNDM-1 and mcr-1 plasmids from a single paediatric patient	PLoS One 14 (9), e0221960 (2019)	31498841	NDM-1	In Argentina, NDM metallo-beta-lactamase was first reported in 2013. By now, it has disseminated throughout the country in diverse Gram negative bacteria. Here, we report the case of a paediatric patient that underwent a 1-year hospitalisation due to erythrodermic psoriasis in 2014 and received multiple antimicrobial treatments. During his stay, five isolates were obtained from rectal swabs (rs) or blood culture (bc) suspicious of carbapenemase production: a K. quasipneumoniae subsp. quasipneumoniae (rs), Citrobacter freundii (rs), Escherichia coli (bc), Enterobacter cloacae (rs), and a Serratia marcescens (bc). The isolates were studied with broth microdilution, biparental conjugation and plasmid and whole genome sequencing (Illumina). All isolates harboured an 138,998-bp type 1 IncC plasmid that carried blaNDM-1, bleMBL, blaCMY-6, rmtC, aac(6')-Ib, and sul1 resistance genes. Additionally, the blaNDM-plasmids contained ISKpn8 an insertion sequence previously described as associated only to blaKPC. One isolate, a colistin-resistant E. coli, also carried a mcr-1-containing an IncI2 plasmid, which did not harbour additional resistance. The whole genome of K. quasipneumoniae subsp. quasipneumoniae isolate was fully sequenced. This isolate harboured, additionally to blaNDM, three plasmid-mediated quinolone resistance genes: qnrB4, qnrB52 and aac(6')-Ib-cr1. The E. cloacae isolate also harboured qnrA1. These findings alert to the underestimated horizontal dissemination of multidrug-resistant plasmids limiting treatment options with last resort antimicrobials.
1848409370	NZ_MK372381	Klebsiella pneumoniae strain ABC52 plasmid pABC52-NDM-1, complete sequence	2020/6/4	circular	complete	573	plasmid	52565	RefSeq	Missing	Missing	Missing	Missing	Missing	14228719	SAMN14228719	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	49.27613431	MK372381	Missing	Missing	0	1.7663152	-9.36194	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK372381	0	Klebsiella pneumoniae	Homo sapiens	United Arab Emirates	Tracheal aspirate	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-1	Missing
1848409325	NZ_MN101853	Escherichia coli strain 13ZX36 plasmid p13ZX36-200, complete sequence	2020/6/4	circular	complete	562	plasmid	198776	RefSeq	Missing	Missing	Missing	Missing	Missing	14228924	SAMN14228924	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	51.33215277	MN101853	Missing	Missing	0	3.639246	-2.5692616	IncC_1, JN157804	Missing	MOBH,MOBH	MPF_F	conjugative	MN101853	0	Escherichia coli	Homo sapiens	China	feces	Genomic and phenotypic analysis of NDM-1-producing atypical Enteroaggregative Escherichia coli causing a fatal outbreak	Unpublished	Missing	NDM-1	Missing
1848409288	NZ_MN101850	Escherichia coli strain 13ZX28 plasmid p13ZX28-272, complete sequence	2020/6/4	circular	complete	562	plasmid	272413	RefSeq	Missing	Missing	Missing	Missing	Missing	14228927	SAMN14228927	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	51.58821348	MN101850	Missing	Missing	0	3.5668218	-2.5823197	IncC_1, JN157804|IncFII_1, AY458016	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	MOBF,MOBH,MOBH	MPF_F	conjugative	MN101850	0	Escherichia coli	Homo sapiens	China	feces	Genomic and phenotypic analysis of NDM-1-producing atypical Enteroaggregative Escherichia coli causing a fatal outbreak	Unpublished	Missing	NDM-1	Missing
1848409270	NZ_MK372385	Morganella morganii strain ABC140 plasmid pABC140-NDM-1, complete sequence	2020/6/4	circular	complete	582	plasmid	52591	RefSeq	Missing	Missing	Missing	Missing	Missing	14228716	SAMN14228716	Missing	Missing	Missing	Missing	Missing	Morganella morganii	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella	582	Morganella morganii	581	Morganella	1903414	Morganellaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	48.83535206	MK372385	Missing	Missing	0	1.7597915	-9.348179	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK372385	0	Morganella morganii	Homo sapiens	United Arab Emirates	Perianal swab	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-1	Missing
1848409244	NZ_MK308632	Klebsiella pneumoniae strain LDR plasmid pNDM5-LDR, complete sequence	2020/6/4	circular	complete	573	plasmid	49021	RefSeq	Missing	Missing	Missing	Missing	Missing	14228628	SAMN14228628	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.90438792	MK308632	Missing	Missing	0	-3.2404828	18.84262	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK308632	0	Klebsiella pneumoniae	Missing	China	sputum	Complete plasmid sequence of pNDM5-LDR	Unpublished	Missing	NDM-5	Missing
1848409191	NZ_MN101852	Escherichia coli strain 13ZX28-TC-98 plasmid p13ZX28-TC-98, complete sequence	2020/6/4	circular	complete	562	plasmid	98241	RefSeq	Missing	Missing	Missing	Missing	Missing	14228925	SAMN14228925	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	52.69083173	MN101852	Missing	Missing	0	0.29446793	4.1481934	IncFII_1, AY458016	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	MOBF	MPF_F	conjugative	MN101852	0	Escherichia coli	Homo sapiens	China	Missing	Genomic and phenotypic analysis of NDM-1-producing atypical Enteroaggregative Escherichia coli causing a fatal outbreak	Unpublished	Missing	NDM-1	Missing
1848409165	NZ_MK450348	Klebsiella pneumoniae strain K725 plasmid pNDM-K725, complete sequence	2020/6/4	circular	complete	573	plasmid	43125	RefSeq	Missing	Missing	Missing	Missing	Missing	14229059	SAMN14229059	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.73391304	MK450348	Missing	Missing	0	-2.8542366	18.44171	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK450347	0	Escherichia coli	Missing	Missing	blood	Direct Submission	Submitted (26-JAN-2019) Clinical Laboratory, Shanghai Children's Hospital, Shanghai Jiaotong University, No. 24, Lane 1400, West Beijing Road, Shanghai, Shanghai 200040, China	Missing	NDM-5	Missing
1848409164	NZ_MK450347	Escherichia coli strain Z214 plasmid pNDM-Z214, complete sequence	2020/6/4	circular	complete	562	plasmid	43252	RefSeq	Missing	Missing	Missing	Missing	Missing	14229060	SAMN14229060	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.77009156	MK450347	Missing	Missing	0	-2.854247	18.441317	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK450347	0	Escherichia coli	Missing	Missing	blood	Direct Submission	Submitted (26-JAN-2019) Clinical Laboratory, Shanghai Children's Hospital, Shanghai Jiaotong University, No. 24, Lane 1400, West Beijing Road, Shanghai, Shanghai 200040, China	Missing	NDM-5	Missing
1848409111	NZ_MK450346	Escherichia coli strain Z244 plasmid pNDM-Z244, complete sequence	2020/6/4	circular	complete	562	plasmid	46047	RefSeq	Missing	Missing	Missing	Missing	Missing	14229061	SAMN14229061	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.56329403	MK450346	Missing	Missing	0	-3.2705944	18.872213	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK450346	0	Escherichia coli	Missing	Missing	blood	Direct Submission	Submitted (26-JAN-2019) Clinical Laboratory, Shanghai Children's Hospital, Shanghai Jiaotong University, No. 24, Lane 1400, West Beijing Road, Shanghai, Shanghai 200040, China	Missing	NDM-5	Missing
