"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_003339395.1","IncA/C",16585,"Environment","QBDU01000051.1","Europe","blaNDM-1"
"GCA_001922465.1","IncA/C",140825,"Homo sapiens","CP018817.1","Missing","blaNDM-1"
"GCA_002180315.1","IncA/C",186758,"Homo sapiens","CP021709.1","Missing","blaNDM-1"
"GCA_006459145.1","IncA/C",179254,"Homo sapiens","CP041083.1","Missing","blaNDM-1"
"GCA_003687865.1","IncA/C",87656,"Environment","RDWC01000009.1","Europe","blaNDM-1"
"GCA_000805735.1","IncA/C",6400,"Missing","JSER01000063.1","South America","blaNDM-1"
"GCA_001463125.1","IncA/C",86243,"Homo sapiens","LNHP01000117.1","South America","blaNDM-1"
"GCA_001463555.1","IncA/C",1924,"Homo sapiens","LNIA01000050.1","South America","blaNDM-1"
"GCA_002866605.1","IncA/C",5604,"Homo sapiens","NIBY01000034.1","Asia","blaNDM-1"
"GCA_900608475.1","IncA/C",103748,"Homo sapiens","UWYQ01000003.1","Europe","blaNDM-1"
"GCA_007421885.1","IncA/C",14412,"Homo sapiens","VLJA01000099.1","North America","blaNDM-1"
"GCA_009646185.1","IncA/C",3556,"Environment","WJBP01000051.1","Europe","blaNDM-1"
"GCA_009710445.1","IncA/C",3556,"Environment","WMJH01000069.1","Europe","blaNDM-1"
"GCA_009710615.1","IncA/C",3556,"Environment","WMJO01000048.1","Europe","blaNDM-1"
"GCA_009710675.1","IncA/C",3556,"Environment","WMJS01000052.1","Europe","blaNDM-1"
"GCA_009710655.1","IncA/C",3556,"Environment","WMJR01000048.1","Europe","blaNDM-1"
"GCA_902507545.1","IncA/C",138743,"Homo sapiens","CABWRH010000026.1","Asia","blaNDM-1"
"GCA_011028245.1","IncA/C",86302,"Homo sapiens","JAAJSJ010000027.1","Asia","blaNDM-1"
"GCA_017168575.1","IncA/C",11515,"Homo sapiens","JABTVP010000095.1","Africa","blaNDM-1"
"GCA_001720755.1","IncA/C",5606,"Homo sapiens","MAGF01000046.1","Asia","blaNDM-1"
"GCA_001720905.1","IncA/C",87700,"Homo sapiens","MAGL01000014.1","Asia","blaNDM-1"
"GCA_002140135.1","IncA/C",5420,"Homo sapiens","MSMQ01000122.1","Africa","blaNDM-1"
"GCA_000958945.1","IncA/C",5604,"Homo sapiens","LAFW01000012.1","North America","blaNDM-1"
"GCA_000958955.1","IncA/C",5604,"Homo sapiens","LAFX01000011.1","North America","blaNDM-1"
"GCA_000763935.1","IncA/C",5504,"Homo sapiens","JQDX01000038.1","North America","blaNDM-1"
"GCA_001463085.1","IncA/C",108132,"Homo sapiens","LNHK01000084.1","South America","blaNDM-1"
"GCA_001463445.1","IncA/C",137810,"Homo sapiens","LNIQ01000033.1","South America","blaNDM-1"
"GCA_003402105.1","IncA/C",4288,"Homo sapiens","QDDZ01000072.1","Europe","blaNDM-1"
"GCA_900513825.1","IncA/C",3490,"Homo sapiens","UKQI01000048.1","Europe","blaNDM-1"
"GCA_900513885.1","IncA/C",3490,"Homo sapiens","UKQF01000047.1","Europe","blaNDM-1"
"GCA_900514035.1","IncA/C",3490,"Homo sapiens","UKQV01000046.1","Europe","blaNDM-1"
"GCA_900502615.1","IncA/C",22718,"Homo sapiens","UIYY01000029.1","Europe","blaNDM-1"
"GCA_900502985.1","IncA/C",3488,"Homo sapiens","UJAH01000071.1","Europe","blaNDM-1"
"GCA_900505065.1","IncA/C",20888,"Homo sapiens","UJIJ01000043.1","Europe","blaNDM-1"
"GCA_900505135.1","IncA/C",22466,"Homo sapiens","UJIQ01000042.1","Europe","blaNDM-1"
"GCA_900505195.1","IncA/C",3488,"Homo sapiens","UJJN01000068.1","Europe","blaNDM-1"
"GCA_900505165.1","IncA/C",3488,"Homo sapiens","UJIU01000055.1","Europe","blaNDM-1"
"GCA_900505235.1","IncA/C",1397,"Homo sapiens","UJJA01000084.1","Europe","blaNDM-1"
"GCA_900503465.1","IncA/C",3490,"Homo sapiens","UJCG01000066.1","Europe","blaNDM-1"
"GCA_900505345.1","IncA/C",3488,"Homo sapiens","UJJK01000052.1","Europe","blaNDM-1"
"GCA_900503505.1","IncA/C",3488,"Homo sapiens","UJCK01000067.1","Europe","blaNDM-1"
"GCA_900503555.1","IncA/C",1397,"Homo sapiens","UJCP01000069.1","Europe","blaNDM-1"
"GCA_900505425.1","IncA/C",3488,"Homo sapiens","UJJV01000048.1","Europe","blaNDM-1"
"GCA_900505555.1","IncA/C",1398,"Homo sapiens","UJKG01000080.1","Europe","blaNDM-1"
"GCA_900503605.1","IncA/C",1397,"Homo sapiens","UJCX01000065.1","Europe","blaNDM-1"
"GCA_900505615.1","IncA/C",66692,"Homo sapiens","UJKK01000015.1","Europe","blaNDM-1"
"GCA_003037185.1","IncA/C",49628,"Homo sapiens","PWAW01000028.1","Asia","blaNDM-1"
