"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_003687955.1","IncFII",15035,"Environment","RDWK01000091.1","Asia","blaNDM-1"
"GCA_001902355.1","IncFII",94434,"Homo sapiens","CP018366.1","Europe","blaNDM-1"
"GCA_002775255.1","IncFII",91540,"Homo sapiens","NICR01000018.1","Asia","blaNDM-1"
"GCA_002775405.1","IncFII",30222,"Homo sapiens","NICN01000025.1","Asia","blaNDM-1"
"GCA_016651405.1","IncFII",6944,"Homo sapiens","JAEPUV010000039.1","Africa","blaNDM-1"
"GCA_011742515.2","IncFII",92972,"Homo sapiens","CP054171.1","Asia","blaNDM-5"
"GCA_014905815.1","IncFII",93470,"Homo sapiens","AP023454.1","Asia","blaNDM-5"
"GCA_900507975.1","IncFII",22971,"Homo sapiens","UJTM01000039.1","Europe","blaNDM-1"
"GCA_900508075.1","IncFII",22971,"Homo sapiens","UJTY01000035.1","Europe","blaNDM-1"
"GCA_900508105.1","IncFII",22971,"Homo sapiens","UJUD01000035.1","Europe","blaNDM-1"
"GCA_900508125.1","IncFII",22971,"Homo sapiens","UJUB01000043.1","Europe","blaNDM-1"
"GCA_002152525.1","IncFII",118569,"Homo sapiens","NGTD01000005.1","North America","blaNDM-1"
"GCA_001462885.1","IncFII",19351,"Homo sapiens","LNHI01000099.1","South America","blaNDM-1"
"GCA_001904245.4","IncFII",7109,"Homo sapiens","MPYK04000045.1","North America","blaNDM-5"
"GCA_002591075.1","IncFII",106853,"Homo sapiens","CP023914.1","North America","blaNDM-1"
"GCA_003115075.2","IncFII",7830,"Homo sapiens","BFCT01000116.1","Asia","blaNDM-1"
"GCA_003115115.2","IncFII",7750,"Homo sapiens","BFCV01000052.1","Asia","blaNDM-1"
"GCA_003115175.2","IncFII",7972,"Homo sapiens","BFCY01000147.1","Asia","blaNDM-1"
"GCA_900516635.1","IncFII",26318,"Homo sapiens","ULAU01000031.1","Europe","blaNDM-1"
"GCA_900504005.1","IncFII",21632,"Homo sapiens","UJEH01000035.1","Europe","blaNDM-1"
"GCA_900504075.1","IncFII",26469,"Homo sapiens","UJEP01000036.1","Europe","blaNDM-1"
"GCA_900506465.1","IncFII",118642,"Homo sapiens","UJNT01000014.1","Europe","blaNDM-1"
"GCA_004294685.1","IncFII",3429,"Homo sapiens","SHTX01000053.1","Asia","blaNDM-1"
"GCA_004830305.1","IncFII",27328,"Homo sapiens","SSYN01000035.1","Asia","blaNDM-1"
"GCA_004830435.1","IncFII",14985,"Homo sapiens","SSYZ01000045.1","Asia","blaNDM-1"
"GCA_004830385.1","IncFII",15012,"Homo sapiens","SSYD01000049.1","Asia","blaNDM-1"
"GCA_004830745.1","IncFII",15012,"Homo sapiens","SSYE01000050.1","Asia","blaNDM-1"
"GCA_004830785.1","IncFII",3508,"Homo sapiens","SSYF01000059.1","Asia","blaNDM-1"
"GCA_004830925.1","IncFII",15012,"Homo sapiens","SSZB01000042.1","Asia","blaNDM-1"
"GCA_004830965.1","IncFII",15013,"Homo sapiens","SSYR01000046.1","Asia","blaNDM-1"
"GCA_004831125.1","IncFII",15007,"Homo sapiens","SSZA01000047.1","Asia","blaNDM-1"
"GCA_004831255.1","IncFII",15007,"Homo sapiens","SSZF01000044.1","Asia","blaNDM-1"
"GCA_004831285.1","IncFII",15012,"Homo sapiens","STAC01000055.1","Asia","blaNDM-1"
"GCA_004831355.1","IncFII",15012,"Homo sapiens","STAH01000052.1","Asia","blaNDM-1"
"GCA_004831385.1","IncFII",15012,"Homo sapiens","STAD01000046.1","Asia","blaNDM-1"
"GCA_004831405.1","IncFII",16512,"Homo sapiens","SSZE01000047.1","Asia","blaNDM-1"
"GCA_004831425.1","IncFII",18409,"Homo sapiens","STAE01000042.1","Asia","blaNDM-1"
"GCA_004831485.1","IncFII",15012,"Homo sapiens","STAF01000051.1","Asia","blaNDM-1"
"GCA_004831525.1","IncFII",15013,"Homo sapiens","STBR01000046.1","Asia","blaNDM-1"
"GCA_004831595.1","IncFII",5663,"Homo sapiens","STAQ01000062.1","Asia","blaNDM-1"
"GCA_004831585.1","IncFII",14985,"Homo sapiens","STBB01000046.1","Asia","blaNDM-1"
"GCA_004831765.1","IncFII",15013,"Homo sapiens","STBU01000041.1","Asia","blaNDM-1"
"GCA_004831915.1","IncFII",15013,"Homo sapiens","STBC01000047.1","Asia","blaNDM-1"
"GCA_004831945.1","IncFII",14985,"Homo sapiens","STAZ01000045.1","Asia","blaNDM-1"
"GCA_004831985.1","IncFII",15013,"Homo sapiens","STBX01000046.1","Asia","blaNDM-1"
"GCA_004832005.1","IncFII",15013,"Homo sapiens","STBV01000041.1","Asia","blaNDM-1"
"GCA_004832035.1","IncFII",15013,"Homo sapiens","STBT01000039.1","Asia","blaNDM-1"
"GCA_004832025.1","IncFII",15013,"Homo sapiens","STBD01000045.1","Asia","blaNDM-1"
"GCA_004832065.1","IncFII",15013,"Homo sapiens","STBE01000046.1","Asia","blaNDM-1"
"GCA_004832105.1","IncFII",10296,"Homo sapiens","STBN01000049.1","Asia","blaNDM-1"
"GCA_004832135.1","IncFII",14985,"Homo sapiens","STBA01000046.1","Asia","blaNDM-1"
"GCA_004832175.1","IncFII",15013,"Homo sapiens","STBW01000047.1","Asia","blaNDM-1"
"GCA_004832255.1","IncFII",15013,"Homo sapiens","STBP01000042.1","Asia","blaNDM-1"
"GCA_004832315.1","IncFII",15013,"Homo sapiens","STDZ01000055.1","Asia","blaNDM-1"
"GCA_004832385.1","IncFII",15013,"Homo sapiens","STCJ01000043.1","Asia","blaNDM-1"
"GCA_004832355.1","IncFII",14984,"Homo sapiens","STCX01000049.1","Asia","blaNDM-1"
"GCA_004832445.1","IncFII",8704,"Homo sapiens","STCL01000048.1","Asia","blaNDM-1"
"GCA_004832485.1","IncFII",14984,"Homo sapiens","STCA01000052.1","Asia","blaNDM-1"
"GCA_004832525.1","IncFII",8733,"Homo sapiens","STCC01000046.1","Asia","blaNDM-1"
"GCA_004832565.1","IncFII",8733,"Homo sapiens","STCB01000046.1","Asia","blaNDM-1"
"GCA_004832555.1","IncFII",15013,"Homo sapiens","STDV01000048.1","Asia","blaNDM-1"
"GCA_004832595.1","IncFII",14984,"Homo sapiens","STCQ01000046.1","Asia","blaNDM-1"
"GCA_004832625.1","IncFII",8704,"Homo sapiens","STCI01000047.1","Asia","blaNDM-1"
"GCA_004832695.1","IncFII",15013,"Homo sapiens","STDR01000047.1","Asia","blaNDM-1"
"GCA_004832745.1","IncFII",15012,"Homo sapiens","STDJ01000051.1","Asia","blaNDM-1"
"GCA_004832765.1","IncFII",15012,"Homo sapiens","STDK01000049.1","Asia","blaNDM-1"
"GCA_004832805.1","IncFII",15705,"Homo sapiens","STEX01000048.1","Asia","blaNDM-1"
"GCA_004832825.1","IncFII",15013,"Homo sapiens","STEY01000048.1","Asia","blaNDM-1"
"GCA_004832865.1","IncFII",15013,"Homo sapiens","STBY01000044.1","Asia","blaNDM-1"
"GCA_004832895.1","IncFII",15013,"Homo sapiens","STBZ01000048.1","Asia","blaNDM-1"
